id,title,responsible,description,publication_date,type,links,languages,status,relevant_parts_of_ric,prospects,contact,related_to
11,The RDF knowledge graph of the Archives nationales of France Sparnatural prototype,The Lab at the Archives nationales de France,"The RDF data published in the Sparnatural prototype of the Archives nationales of France: https://sparna-git.github.io/sparnatural-demonstrateur-an/. Scope and content: description of the archives of 40 notarial offices (out of 122 offices) in Paris, produced and preserved continuously since the end of the 15th to the beginning of the 20th century, and kept by the Archives nationales of France. Number of triples: 57,9 million, including about 37 million inferred (in a GraphDB repository that has been configured using RDFS-Plus Optimized inference rules).",2022-08 [version 1.0] ,dataset,https://github.com/ArchivesNationalesFR/Sparnatural_prototype_data,French,Ongoing work,RiC-O 0.2,"New releases to be made in 2025 (updating the content as the source data, enhancing their granularity and quality, moving to RiC-O 1.0)",le-lab.archives-nationales@culture.gouv.fr | florence.clavaud@culture.gouv.fr,#12
12,"A prototype of an intuitive research interface, allowing to explore and query a knowledge graph of significant size, that conforms to RiC-O (slightly extended) and was produced from the metadata that describe a part of the public records produced by the Parisian notaries from the XVth century and kept by the Archives nationales de France",The Lab at the Archives nationales de France | Sparna company (France),"This demonstrator, which uses the current version of [Sparnatural](https://sparnatural.eu/), a visual SPARQL query editor, is the result of an exploratory work on the transition from archival metadata to data graphs, following the projects of qualitative proof of concept PIAAF (released in February 2018) and development of the RiC-O Converter  software (version 1.0 released in April 2020). The main challenge of the project was to provide users with a relevant and accessible research interface to explore an archival metadata graph of significant size, which exploits its nature.Through this prototype, built with Sparnatural, you can query a knowledge graph created from a part of the metadata describing the archives of Paris notaries kept at the French national Archives. These metadata have been semantized according to the ontology Records In Contexts (RiC-O). The prototype is composed of two research interfaces. Interface A offers a simple and general exploration interface in this metadata, which could be used for other archival metadata. Interface B offers an exploration interface in these metadata based on the specificities of notarial archives. Note that the IRIs of RDF resources are currently not dereferenceable.",2022-06 [version 1],web application,[Prototype](https://sparna-git.github.io/sparnatural-demonstrateur-an/),"French (data, interface and documentation) | English (interface and documentation)",Ongoing work,RiC-O 0.2,"New version to be released in 2025, based on a new version of Sparnatural, and enabling to query an enriched and enhanced, RiC-O 1.0 based, dataset.",le-lab.archives-nationales@culture.gouv.fr | florence.clavaud@culture.gouv.fr,#11
13,PIAAF (Pilote d’interopérabilité pour les Autorités Archivistiques françaises): démonstrateur,Archives nationales de France | Bibliothèque nationale de France | Ministère de la Culture (France)  | Logilab company (France) ,"A qualitative proof of concept aiming to demonstrate that legacy archival metadata produced by various institutions can be converted to high quality RDF datasets conforming to RiC-O, can be interconnected to each other and made available through a query/visualisation interface. The first web app published (as far as we know) based on RiC-O. See also this English presentation dated 2019: https://enc.hal.science/hal-03958855v1.",2018-02,web application,[Web app](https://piaaf.demo.logilab.fr/),French,Completed,RiC-O early version (before 2019),,le-lab.archives-nationales@culture.gouv.fr | florence.clavaud@culture.gouv.fr,
14,Records in Contexts: Searching and Finding Archival Records,Merel Geerlings,Thesis on what RiC means to users of archives.,2021-06-09,thesis,[Blog post](https://www.amsterdam.nl/stadsarchief/organisatie/blog-bronnen-bytes/records-contexts-(9)-mogelijkheden/) [nl] | [Thesis](https://assets.amsterdam.nl/publish/pages/1002802/scriptie_records_in_contexts_merel_geerlings_definitief.pdf) [nl] | [Thesis](https://assets.amsterdam.nl/publish/pages/1002802/thesis_records_in_contexts_merel_geerlings_definitive_1.pdf) [en],English | Dutch,Completed,RiC-CM 0.2,,merel.geerlings@amsterdam.nl,
15,A library of shapes for draw.io for working graphically with Records in Contexts,Richard Williamson,"A library of shapes for [draw.io](https://app.diagrams.net/), with which you can easily edit diagrams representing graphs compliant with RiC-O 1.0.",2024-03,tool,[GitHub repository](https://github.com/williamsonrichard/records_in_contexts_draw_io_shape_library),English,,RiC-O 1.0,,richard.williamson.arkivverket@gmail.com,#22
16,Archival description turns truly collaborative: an exercise in Records in Contexts standard,Arian Rajh,"This paper presents an exercise and research conducted by the author at the Faculty of Humanities and Social Sciences at Zagreb University. It aimed to teach archival description subjects to his BA students and link results using the Records in Contexts (RIC) standard, RDF Turtle standard, and a graph database. The exercise spanned five weeks, during which students had to create the archival description of an exemplary records aggregation of notable historian Jaroslav Šidak, provided by the Faculty Archives. This exercise aimed to examine the potential of RIC and linked data technologies to facilitate collaboration among archivists, reduce the description-related work through decentralization, enable re-using and linking descriptions, and visualize results. The author offers a conclusion regarding collaborative work and creating new knowledge from archived heritage. Finally, some further directions regarding these subjects are being proposed.",2024-10,article,https://doi.org/10.54356/MA/2024/JVGE4567,English | Croatian (title and abstract),,RiC-O 1.0,,,
17,De l’ethnographie critique des archives à la modélisation d’une base de données pour l’étude de l’Iran postrévolutionnaire [fr] | From the Critical Ethnography of Archives to the Modelling of a Database for the Study of Post-Revolutionary Iran [en],Natalia Pashkeeva | Chowra Makaremi | Johanna Saadoune,"L’histoire de la violence révolutionnaire en Iran n’est pas tant liée aux luttes ayant mené au renversement du Shah en 1979, qu’à la solidification, dans les années 1980, du régime républicain islamique. Notre recherche collective, menée sur cette période sous-étudiée de manière interdisciplinaire, explore les liens entre violence, construction de l’État-nation postrévolutionnaire en Iran et politiques mémorielles nationales et transnationales. Nous avons créé une base de données répertoriant les différentes sources, archives et contre-archives de la longue révolution iranienne, conservées dans les dépôts et accessibles aux chercheurs, ou diffusées sur le web par différents réseaux d’activisme mémoriel. Cet article discute des aspects analytiques, méthodologiques et techniques de la production de la base de données, en abordant ensemble les problèmes conceptuels et « d’intendance ». Leurs relations révèlent des enjeux politiques de la recherche en humanités numériques et par projets. [fr] | The history of revolutionary violence in Iran is not linked as much to the struggles that led to the overthrow of the Shah in 1979 as to the solidification of the Islamic republican regime in the 1980s. Our collective, interdisciplinary research on this under-studied period explores the connections between violence, the construction of the post-revolutionary nation-state in Iran, and national and transnational memorial policies. We have created a database cataloguing the various sources, archives, and counter-archives of the long Iranian revolution, stored in repositories and accessible to researchers, or disseminated online through various networks of memorial activism. This article discusses the analytical, methodological and technical aspects of database production, exploring both conceptual and administrative issues. Their interrelations reveal the political stakes of research in Digital Humanities and project-based research. [en]",2024-12,article,[Article](https://doi.org/10.4000/130fu),French | English (title and abstract) | Arabic (title and abstract) ,,RiC-CM 0.2,,,
18,A recontextualization of provenance: Records in Contexts and the principle of provenance,Anouk Stephano,"As the first conceptual framework for archival description on an international level, the conceptual model Records in Contexts has the potential to revolutionize the archival field. The responses from the archival community strongly suggest that Records in Contexts represents a paradigm shift. Since it has initiated discussions about the fundamentals of archival science, questions arise on how this new method harmonizes with the principle of provenance, which has long been a cornerstone of archival practice. The documentation and literature on Records in Contexts consist of contradictory statements regarding the principle of provenance. While it deliberately avoids redefining old concepts and principles, it also alludes to an enhanced and dynamic interpretation of provenance, closely aligned with the notion of context and characterized as an expansion of the principle of provenance. This article addresses this issue and analyzes how Records in Contexts addresses previous criticisms regarding the principle of provenance. It will be shown that new notions are not explicitly linked to the concepts of fonds, provenance, and original order. The paper examines the role of the principle of provenance within the conceptual model, demonstrating that the idea of expansion is a misleading characterization. It concludes by advocating for the adoption of a new perspective.",2024-09-02,article,[Article](https://doi.org/10.1007/s10502-024-09460-y),English,,RiC-CM 1.0,,,
19,Considering description logic for analyzing and clarifying archival ontologies,Arian Rajh,"This paper explores the use of Description Logic (DL) in analysing and updating ontologies and examines the benefits of its applicability.

The author 'manually' uses DL to analyse the construction of classes and properties of the Records in Contexts ontology as concepts and roles in the T-box. An A-box is constructed from an example published on the EGAD GitHub page.",2024-11-22,article,[Journal volume](https://journal.almamater.si/index.php/atlantiplus/issue/view/48),English,,RiC-O 1.0,,,
20,"ACA at 50: Critical Reflections, Envisioning the Future - 50th Anniversary Conference",Association of Canadian Archivists,"One of the suggested topics for the conference is: ""How have archives adopted linked data and Records in Contexts""?",2025-06-09,event,[Call for papers](https://archivists.ca/2025-Conference-Call-for-Papers),,,RiC-CM 1.0 | RiC-O 1.0,,,
21,Linked Data Transformation von archivischen Metadaten,"Augel, Pierre Maurice","Die Zugänglichmachung von Archivgut ist eine der Hauptaufgaben von Archiven. Die Erschließung und Bereitstellung von Archivgut erfolgt meist isoliert und hierarchisch strukturiert innerhalb eines Bestandes. Konträr dazu stehen die Prinzipien von Linked Open Data (LOD). Sie zielen darauf ab, Informationen nicht isoliert, sondern innerhalb eines Netzwerkes zu betrachten. Im Archivkontext kann
der Einsatz von LOD dazu führen, dass Einschränkungen in Bezug auf die Auffindbarkeit von Archivgut, die aus der derzeitigen Erschließung resultieren, reduziert werden könnten. Zwar existiert mit Records in Context (RiC) ein archivischer Standard zur Archivgutbeschreibung, der die Erstellung archivischer LOD unterstützen könnte, jedoch findet dieser – v. a. im deutschsprachigen Raum – noch geringe Anwendung. Die Etablierung eines Prozesses zur Transformation von bestehenden archivischen Metadaten in LOD kann die Einführung von LOD im Archivwesen potenziell vereinfachen bzw. beschleunigen. Da bislang noch keine umfangreichen Erkenntnisse zur Realisierung einer Transformation von bestehenden archivischen Metadaten in LOD vorliegen, setzt die Forschungsfrage der vorliegenden Arbeit „Inwieweit können hierarchisch und isoliert beschriebene archivische Metadaten zu Linked Open Data transformiert werden?“ an dieser Stelle an. Hierzu wird in einem dreiteiligen Vorgehen zuerst eine Handreichung erstellt, die eine konzeptionelle Grundlage zur LOD-Erstellung ausgehend von bestehenden archivischen Metadaten bildet. Darauf aufbauend ist die Transformation von ausgewählten archivischen Metadaten in LOD anhand der Handreichung praktisch umgesetzt und  n der vorliegenden Arbeit dieser Prozess beschrieben worden. Abschließend wird die Datenqualität beurteilt sowie die LOD zugeschriebenen Potenziale im Kontext des Archivwesens der Transformationsergebnisse diskutiert. ",2023,thesis,https://doi.org/10.18452/27976,German,,RiC-CM 1.0,"Diese Veröffentlichung geht zurück auf eine Masterarbeit im Studiengang Digitales Datenmanagement, M.A. an der Fachhochschule Potsdam und der Humboldt-Universität zu Berlin.",,
22,Parser for draw.io diagrams created using the Records in Contexts shape library ,Richard Williamson,"A Python script which takes the underlying XML of a draw.io diagram in which the [RiC shape library](https://ica-egad.github.io/RiC-ResourceList/resource-details/15.html) has been used, and outputs OWL individuals whose types are classes in RiC-O, and which are related by RiC-O properties. In other words, it creates a formal RiC-O graph from the informal one in draw.io.",2024-04,tool,[GitHub repository](https://github.com/williamsonrichard/records_in_contexts_draw_io_parser),English,,RiC-O 1.0,"It is planned to add support for RiC-CM, and also to include Relation classes in RiC-O, which are currently omitted. Output formats other than OWL are also planned. ",richard.williamson.arkivverket (at) gmail.com,#15
23,"Semantic representation of the Registos de Baptismos da Paróquia de Aldoar (Porto, Portugal)",Lucia Giagnolini | Inês Koch,"This dataset comprises mappings of archival records from the National Archives of Portugal to the RiC-O framework, namely the baptism registries of the Parish of Aldoar (Porto, Portugal) (PT/ADPRT/PRQ/PPRT01/001). 

Includes diagrams in draw.io. 

The [RiC-O converter](https://ica-egad.github.io/RiC-ResourceList/resource-details/5.html) was used in a modified version to create the data. ",2025-04-02 ,dataset,https://doi.org/10.25747/15YG-GD86,Portuguese (data) | English (description),,RiC-O 1.0,,,#5
24,Applying Records in Contexts in Portugal: the case of the scientific correspondence from António de Barros Machado and Dora Lustig archive,Catarina Santos | Jorge Revez,"The scientific exchange correspondence of the Dundo Museum Biology Laboratory (Angola), included in the archive of António de Barros Machado (1912–2002) and Dora Lustig (1907–1986), constitutes a valuable repository of information for the history of contemporary science, particularly in the field of natural sciences—botany, entomology, mammals, ornithology, primates, reptiles, termites, zoogeography, zoology—and of biology. This paper describes the application of the Records in Contexts model to the correspondence collection, with the aim of representing two realities: its production context and the relationships between scientists. The exploration of the model sought to understand its fundamentals and, simultaneously, model the information, starting by identifying the entities, attributes and relations needed for the collection representation scheme. This study resulted in a modelling exercise of the relations between 11 correspondents and the director of the Dundo Museum Biology Laboratory, Barros Machado, regarding the work on the museum collections which culminated in the publication of scientific articles in Publicações Culturais da Companhia de Diamantes de Angola [Cultural Publications of the Diamond Company of Angola]. In the future, it is proposed to apply the same scheme to the description of the remaining scientists in the epistolary collection.",2022-08-25,article,[Article](https://link.springer.com/article/10.1007/s10502-022-09401-7),English,,RiC-CM 0.2 | RiC-O 0.2,,,
